	N01	N02	N03	N04	N05	N06	N07	N08	N09	N10	N11	N12	N13	N14	N15	N16	N17	N18	N19	N20	N21	A01	A02	A03	A04	A05	A06	A07	A08	A09	A10	A11	A12	A13	A14	A15	A16	A17	A18	A19	A20	A21	A22	A23
Ethanol	8.07191038607014	21.7593057637909	0.554875566999563	0.807133344906779	0.758859772882726	0.761997068846495	0.833224954316513	0.53889911585689	1.21777269255495	15.2493448973981	0.452348833299816	4.70440715622519	0.74335391210208	0.682170660728726	0.511864001969446	0.394146281174419	0.267357012102336	7.50611532521674	1.78481032996372	13.8812853983556	1.04721611123798	0.6592947561301	0.499466340155536	0.533849553239468	4.15304946892102	2.02699727761365	1.00881603105126	0.696550578057254	0.322129096292656	3.16435760403549	0.813726052885527	9.05199059117533	0.610368977982682	0.657107571820604	0.562096061444475	15.8335938401589	1.73879742350344	0.530276835809303	0.747567223925388	0.985535662442617	1.17569756757728	2.68494644360321	0.83914316800511	0.740570308521268
Formate	0.31934325601456	0.729907149596942	0.792677049497993	1.05046030918015	1.20553039869344	0.993565009249196	0.807782970978604	0.732698797900062	0.944627415720195	1.12600647976568	1.55327087964138	0.675051002130284	1.56892208176384	1.47909900270154	0.500197585970142	0.449790462046102	1.02477796606479	1.16757595544524	0.60910193800349	1.59034453349901	1.12508602720183	0.67160523912838	0.555891407871852	0.673114654084547	0.749532962247025	0.470552939446026	0.328678771407023	0.580458815047711	0.674277391522979	0.804281806201084	0.30228406957004	1.87555723257254	1.18407268166958	1.77386674560439	0.775164965602128	1.0736186372601	1.01921035417222	0.748543818358778	0.546647219432124	0.24980591443858	0.562290141015221	0.663269410771417	0.611733095374999	0.793468187701359
Fumarate	0.930851618595631	0.184999507962359	0.542569520382992	1.86946326210026	0.432261895945856	0.916375695781629	1.14064891964958	0.465799235787974	1.20183921807292	0.160858068537954	0.212748538035986	0.926449306371907	0.746779506167066	1.51416384974834	1.11997593593315	0.386417922720019	1.25397761148565	2.11977382202194	0.472762260020151	0.484475818152015	0.136943645315736	0.0560810892143861	0.530813599997933	0.721857439380324	0.208203600624174	2.13860278248226	0.252204007762815	1.00310538975433	0.771262495783134	0.582285470552821	0.876108102065471	0.082111978754551	0.44429685323121	0.388437973490012	0.858363299606545	0.0456211885521291	0.137531999599142	1.41593709192352	1.04623209546943	0.44571534733733	0.961398178169382	0.111540801811409	0.279714389335037	0.0447597439216151
Glucose	68.1356206662554	37.1697647770554	2.84150436077874	15.5472082294666	3.60698537617042	3.57841740382977	2.56327982129431	2.01109670050063	13.9998335431013	4.33110349538442	6.83687049416617	18.7384847143062	4.84379000789097	10.5290172541448	0.787483079952993	1.26281377144902	2.40783562720232	8.54899870289598	2.79939001157999	43.4237782226252	27.8935409321543	2.39780852177607	3.45864766927787	3.06151113357765	5.84072336103932	11.5255306514312	20.5831012787071	2.80615558399628	2.39691757671525	38.5982481292701	1.18394418652993	5.46820950370405	1.52700083537717	71.2265764056186	4.35878101076799	2.76464402625902	2.52960642119851	13.5969136949731	2.04540184754404	1.97791532254109	24.7152075618963	6.52115330590276	13.0669827733262	29.7448843697279
Glutamate	7.73897805533156	13.3872371216398	8.08583696306089	33.644403913798	14.5239997037808	17.7832302950279	17.7691051962511	11.6058809588485	12.3598237767727	21.2634259348608	28.450469542793	9.43209193321349	18.6729132482416	27.9753725166136	8.98022371546395	5.39130285778971	20.2005534349635	38.2522821519414	22.0445323492542	33.7447939425882	20.1199751833493	11.7592469262458	20.0392583085834	13.6758329029867	20.6439993654181	21.2201277500179	2.41302286136938	10.1906800716814	8.23218801636788	18.3456316066048	7.29201814282703	44.2078902917498	19.1090782506239	18.9849059543244	13.1493952280152	42.7805092116165	18.809956873747	17.1045760363291	11.81445828223	8.38560812783206	9.58645708947629	10.6342203726985	8.06850937691635	13.7046197752727
Glutamine	4.36549025509265	1.5018596419126	1.47267439567869	2.52426997083591	1.85152178763475	1.02127399357089	1.26573867106096	1.10499818708826	1.78910156326765	1.77144947977422	2.63353772811537	2.31845102800608	1.97999336956222	2.34615703876795	0.977791490941633	1.13761436448774	2.65105745965894	2.89248994787486	2.57628872033453	7.17761456675214	3.8424775773886	0.973895988308364	1.9080032157406	2.31180067402831	2.43965630849032	2.38594471219107	0.69966273121297	1.93002556003364	1.91430122456353	1.96339382102029	0.95730299174753	0.876487124145385	2.14815371756449	2.60900838860792	1.83645103107311	3.71052333557317	2.75309592054712	1.34038313642563	1.9693780620601	0.434593851146571	0.418768531595252	1.74680862836797	1.67373813455762	2.13015690390595
Glycerol	1.31814024823031	2.43694806397689	0.398096764601502	4.4669291490184	1.41445698173394	4.55021106825478	0.890469416826807	0.482799207897024	1.47384638958753	4.73123794087258	6.03544881690439	0.947399165058709	3.11215220804027	3.14308538074077	3.70262877777898	0.358595832284178	1.25780400639006	2.79802587380971	3.29871194912937	4.88688651353337	3.44238731950537	1.69200749654136	0.762783322831676	1.78955654585926	2.09795745805417	0.666616664215204	0.274983724593005	0.34101955384053	1.22501423357171	6.05030996746291	0.641365509825668	31.8884016036174	1.01368699523626	7.25407915492598	2.81656799019831	2.60649057261164	2.37733885021375	1.72654779785931	0.836261640323315	0.345621881620501	0.397141987710051	6.15067849988629	0.604910793196096	0.980645298646295
Glycine	2.23880006078292	11.5254693460549	2.42044111057986	20.6907050352451	4.3922611538054	9.34386535590728	4.85517848698426	3.06509497126174	5.24780363118773	12.2754813553026	15.7991608489054	4.27842669626022	5.8800322125494	6.16503765350166	6.9254761975866	4.50099596384278	7.99750271423338	11.3640281100374	6.00248712160416	17.1830934198916	10.6520674699515	7.01560747757528	4.35726911809327	7.60155342112721	7.48920598715778	6.93763949183244	1.40908819821031	6.0367716764962	3.18780801026532	14.2368797550165	2.64501189802875	28.1548992557171	8.04263575582127	13.4852716463283	4.11933214704796	25.6634392668577	8.90274104548021	11.8479795399292	7.73089494766424	1.89236535184294	3.36980874720311	6.88565271182219	5.24862447630297	7.39146134851035
Histidine	0.475617615340833	0.987224647035496	0.366413623769103	1.46194005364243	0.511509910202597	0.540325194272969	0.926512226555511	0.290699523064758	1.18135332231032	0.367962831780571	0.875780389585032	0.693673098740775	0.863249704376609	0.913279879900841	0.331763704980196	0.289040606194574	0	0.476098933288351	1.38995645736262	0.368622905115664	2.51868900600315	0.637409453022047	0.21525118425113	1.74313484557757	1.82361859605526	0.998416813824581	0.138305423611866	1.53640192607941	0.0623475670243851	0.178324925356801	0	0.398053963996814	0	1.47606429926205	0.300325693479359	0	0.152267570984765	0.187485741420703	0.747567223925388	0.318245890997095	0.365685196604305	0.27785610451235	1.37355683868587	1.93484165770254
Isobutyrate	2.58871873492654	3.77398996243212	3.89134801641723	4.00203616849611	11.267626754322	7.23402412112711	6.45802343727251	5.56239087408121	3.11954668251693	3.12466798134976	3.34820757433334	3.57777031129051	3.86749569936981	4.44367243484039	1.77985759089376	1.50548422691719	3.58983667173944	7.25106232524083	3.65638227318956	5.50301336922669	2.39517120826739	7.63249945893353	6.22974543934583	7.93811074816949	2.97731148892568	5.32388421873228	3.43160162820501	7.17592210102733	10.3774061558365	3.36997716082445	4.87582877207105	2.81345510457847	4.44512531315303	3.38912131870036	5.4809439059983	4.84801163680625	4.995358699726	2.60521231735336	6.71905456467564	4.12008658882261	6.62165452775967	3.3382568542129	7.86838851300185	3.62757379146544
